product_id,product_name,category,warehouse,location,quantity,price,supplier,current_status,last_restocked
1098,"Gadget Y",Furniture,"Warehouse 3","Aisle 1",200,29.99,"Supplier C","In Stock",NULL
1098,"Widget B",Electronics,"Warehouse 2","Aisle 4",300,49.99,"Supplier C","In Stock",2023-04-25
1098,"Widget C",Furniture,"Warehouse 3","Aisle 4",200,29.99,"Supplier C","In Stock",2022-12-20
1099,"Widget A",Electronics,"Warehouse 2","Aisle 5",300,49.99,"Supplier B","In Stock",2023-03-05
1099,"Widget B",Clothing,"Warehouse 1","Aisle 4",150,9.99,"Supplier C","Low Stock",2023-04-25
1102,"Gadget Y",Electronics,"Warehouse 2","Aisle 1",300,9.99,"Supplier C","In Stock",NULL
1102,"Widget C",Electronics,"Warehouse 3","Aisle 3",150,9.99,"Supplier A","Low Stock",NULL
1103,"Gadget X",Furniture,"Warehouse 2","Aisle 1",50,49.99,"Supplier A","Low Stock",NULL
1103,"Widget C",Toys,"Warehouse 1","Aisle 1",300,9.99,"Supplier D","In Stock",2023-01-15
1105,"Gadget X",Electronics,"Warehouse 1","Aisle 5",NULL,29.99,"Supplier A","Out of Stock",2023-01-15
1105,"Widget C",Furniture,"Warehouse 1","Aisle 2",NULL,49.99,"Supplier B","Out of Stock",2023-01-15
1106,"Widget A",Furniture,"Warehouse 3","Aisle 3",200,9.99,"Supplier D","In Stock",2023-04-25
1108,"Gadget X",Furniture,"Warehouse 1","Aisle 5",300,19.99,"Supplier B","In Stock",2023-04-25
1111,"Gadget X",Furniture,"Warehouse 3","Aisle 5",200,9.99,"Supplier C","In Stock",2023-01-15
1112,"Widget B",Clothing,"Warehouse 2","Aisle 4",NULL,9.99,"Supplier B","Out of Stock",NULL
1114,"Widget C",Furniture,"Warehouse 3","Aisle 1",150,9.99,"Supplier C","Low Stock",2023-03-05
1116,"Gadget X",Toys,"Warehouse 3","Aisle 5",100,29.99,"Supplier D","Low Stock",NULL
1116,"Widget A",Toys,"Warehouse 1","Aisle 1",300,29.99,"Supplier A","In Stock",NULL
1117,"Widget A",Toys,"Warehouse 3","Aisle 1",NULL,49.99,"Supplier B","Out of Stock",2022-12-20
1119,"Gadget Y",Toys,"Warehouse 3","Aisle 5",NULL,49.99,"Supplier D","Out of Stock",2023-03-05
1121,"Gadget Y",Clothing,"Warehouse 1","Aisle 1",150,19.99,"Supplier A","Low Stock",2023-03-05
1121,"Widget B",Toys,"Warehouse 1","Aisle 2",50,19.99,"Supplier C","Low Stock",2022-12-20
1122,"Widget A",Clothing,"Warehouse 1","Aisle 2",100,49.99,"Supplier C","Low Stock",2023-03-05
1123,"Gadget X",Clothing,"Warehouse 3","Aisle 4",200,29.99,"Supplier C","In Stock",2022-12-20
1124,"Widget C",Furniture,"Warehouse 1","Aisle 2",100,19.99,"Supplier A","Low Stock",2022-12-20
1126,"Gadget Z",Furniture,"Warehouse 3","Aisle 5",150,19.99,"Supplier C","Low Stock",2022-12-20
1128,"Gadget Y",Electronics,"Warehouse 3","Aisle 3",NULL,49.99,"Supplier A","Out of Stock",2023-01-15
1129,"Gadget Y",Furniture,"Warehouse 3","Aisle 4",200,49.99,"Supplier C","In Stock",2023-01-15
1130,"Gadget X",Electronics,"Warehouse 2","Aisle 4",NULL,29.99,"Supplier D","Out of Stock",2023-04-25
1130,"Widget C",Electronics,"Warehouse 3","Aisle 5",200,9.99,"Supplier C","In Stock",2023-03-05
1131,"Widget A",Electronics,"Warehouse 1","Aisle 5",200,49.99,"Supplier A","In Stock",2023-04-25
1133,"Widget A",Clothing,"Warehouse 2","Aisle 4",100,9.99,"Supplier D","Low Stock",2022-12-20
1134,"Widget A",Furniture,"Warehouse 1","Aisle 3",200,19.99,"Supplier D","In Stock",2023-03-05
1138,"Widget A",Toys,"Warehouse 2","Aisle 3",200,29.99,"Supplier B","In Stock",2022-12-20
1142,"Gadget X",Furniture,"Warehouse 2","Aisle 1",150,9.99,"Supplier C","Low Stock",2022-12-20
1143,"Widget C",Toys,"Warehouse 3","Aisle 2",100,9.99,"Supplier D","Low Stock",2023-03-05
1144,"Gadget Z",Toys,"Warehouse 1","Aisle 1",50,49.99,"Supplier B","Low Stock",2023-04-25
1146,"Gadget Z",Electronics,"Warehouse 2","Aisle 4",50,19.99,"Supplier A","Low Stock",2022-12-20
1147,"Widget B",Toys,"Warehouse 2","Aisle 2",100,19.99,"Supplier C","Low Stock",2023-04-25
1148,"Widget C",Electronics,"Warehouse 2","Aisle 3",100,29.99,"Supplier C","Low Stock",2023-01-15
1149,"Widget C",Clothing,"Warehouse 2","Aisle 1",50,19.99,"Supplier B","Low Stock",2023-03-05
1150,"Widget B",Clothing,"Warehouse 3","Aisle 5",200,29.99,"Supplier B","In Stock",2023-03-05
1151,"Widget B",Clothing,"Warehouse 2","Aisle 4",150,19.99,"Supplier A","Low Stock",NULL
1152,"Widget C",Furniture,"Warehouse 3","Aisle 2",50,49.99,"Supplier D","Low Stock",NULL
1153,"Gadget X",Toys,"Warehouse 1","Aisle 4",100,29.99,"Supplier D","Low Stock",2023-01-15
1156,"Widget C",Toys,"Warehouse 1","Aisle 2",300,9.99,"Supplier D","In Stock",NULL
1157,"Widget B",Electronics,"Warehouse 3","Aisle 4",50,29.99,"Supplier B","Low Stock",2022-12-20
1159,"Gadget Z",Toys,"Warehouse 1","Aisle 3",150,29.99,"Supplier C","Low Stock",2023-01-15
1159,"Widget A",Toys,"Warehouse 3","Aisle 1",50,49.99,"Supplier A","Low Stock",2022-12-20
1159,"Widget B",Electronics,"Warehouse 1","Aisle 3",100,49.99,"Supplier A","Low Stock",NULL
1160,"Gadget Y",Furniture,"Warehouse 1","Aisle 5",NULL,29.99,"Supplier B","Out of Stock",NULL
1160,"Gadget Z",Furniture,"Warehouse 1","Aisle 5",NULL,29.99,"Supplier B","Out of Stock",2023-04-25
1161,"Widget A",Clothing,"Warehouse 2","Aisle 3",NULL,19.99,"Supplier C","Out of Stock",NULL
1162,"Gadget Y",Furniture,"Warehouse 3","Aisle 4",300,9.99,"Supplier D","In Stock",2022-12-20
1166,"Gadget Y",Furniture,"Warehouse 2","Aisle 3",50,29.99,"Supplier C","Low Stock",NULL
1167,"Gadget Y",Clothing,"Warehouse 1","Aisle 1",NULL,29.99,"Supplier B","Out of Stock",NULL
1167,"Widget B",Furniture,"Warehouse 3","Aisle 5",50,9.99,"Supplier B","Low Stock",2023-04-25
1169,"Widget A",Furniture,"Warehouse 1","Aisle 4",300,9.99,"Supplier D","In Stock",2023-03-05
1170,"Gadget Y",Clothing,"Warehouse 2","Aisle 1",150,29.99,"Supplier A","Low Stock",NULL
1171,"Widget A",Electronics,"Warehouse 3","Aisle 4",100,49.99,"Supplier B","Low Stock",NULL
1172,"Widget C",Toys,"Warehouse 1","Aisle 2",150,9.99,"Supplier C","Low Stock",2023-04-25
1173,"Widget B",Furniture,"Warehouse 1","Aisle 4",50,49.99,"Supplier B","Low Stock",NULL
1175,"Gadget Y",Furniture,"Warehouse 1","Aisle 2",50,29.99,"Supplier A","Low Stock",NULL
1176,"Gadget X",Toys,"Warehouse 3","Aisle 4",300,29.99,"Supplier A","In Stock",2023-03-05
1177,"Widget C",Electronics,"Warehouse 3","Aisle 2",300,49.99,"Supplier B","In Stock",2023-01-15
1179,"Gadget Z",Toys,"Warehouse 2","Aisle 3",100,19.99,"Supplier B","Low Stock",2022-12-20
1181,"Widget C",Electronics,"Warehouse 2","Aisle 1",50,29.99,"Supplier A","Low Stock",2023-03-05
1185,"Widget A",Electronics,"Warehouse 1","Aisle 3",50,9.99,"Supplier C","Low Stock",NULL
1186,"Gadget Y",Clothing,"Warehouse 1","Aisle 1",NULL,19.99,"Supplier B","Out of Stock",2023-04-25
1188,"Widget B",Toys,"Warehouse 2","Aisle 3",NULL,29.99,"Supplier C","Out of Stock",2023-01-15
1189,"Gadget Y",Electronics,"Warehouse 2","Aisle 3",150,9.99,"Supplier A","Low Stock",2023-04-25
1189,"Widget A",Furniture,"Warehouse 2","Aisle 1",NULL,29.99,"Supplier A","Out of Stock",2023-04-25
1189,"Widget B",Furniture,"Warehouse 2","Aisle 5",300,49.99,"Supplier C","In Stock",NULL
1189,"Widget C",Furniture,"Warehouse 1","Aisle 4",300,29.99,"Supplier C","In Stock",2023-03-05
1190,"Gadget Z",Clothing,"Warehouse 1","Aisle 2",200,9.99,"Supplier B","In Stock",2023-03-05
1191,"Widget B",Clothing,"Warehouse 3","Aisle 1",100,19.99,"Supplier B","Low Stock",NULL
1191,"Widget C",Clothing,"Warehouse 2","Aisle 3",100,19.99,"Supplier A","Low Stock",2022-12-20
1193,"Widget A",Electronics,"Warehouse 2","Aisle 4",200,19.99,"Supplier A","In Stock",NULL
1194,"Widget A",Electronics,"Warehouse 3","Aisle 1",150,9.99,"Supplier A","Low Stock",2022-12-20
1195,"Gadget Y",Electronics,"Warehouse 3","Aisle 5",50,19.99,"Supplier B","Low Stock",NULL
1197,"Widget C",Toys,"Warehouse 2","Aisle 2",100,9.99,"Supplier A","Low Stock",2023-03-05
1200,"Gadget Z",Electronics,"Warehouse 2","Aisle 5",150,19.99,"Supplier C","Low Stock",2022-12-20
1201,"Gadget X",Electronics,"Warehouse 3","Aisle 4",100,9.99,"Supplier C","Low Stock",NULL
1202,"Widget C",Clothing,"Warehouse 2","Aisle 1",300,19.99,"Supplier A","In Stock",NULL
1203,"Widget A",Furniture,"Warehouse 3","Aisle 3",150,29.99,"Supplier B","Low Stock",NULL
1205,"Widget C",Electronics,"Warehouse 3","Aisle 3",50,19.99,"Supplier A","Low Stock",2023-03-05
1207,"Gadget Z",Toys,"Warehouse 3","Aisle 3",300,49.99,"Supplier D","In Stock",2023-04-25
1212,"Widget A",Clothing,"Warehouse 2","Aisle 1",150,29.99,"Supplier D","Low Stock",2023-03-05
1214,"Gadget Z",Furniture,"Warehouse 2","Aisle 1",50,9.99,"Supplier A","Low Stock",2023-01-15
1214,"Widget A",Toys,"Warehouse 3","Aisle 2",100,19.99,"Supplier D","Low Stock",2023-03-05
1216,"Gadget Y",Clothing,"Warehouse 3","Aisle 4",NULL,9.99,"Supplier D","Out of Stock",NULL
1217,"Widget C",Clothing,"Warehouse 3","Aisle 3",50,29.99,"Supplier D","Low Stock",NULL
1219,"Gadget Y",Clothing,"Warehouse 2","Aisle 5",NULL,49.99,"Supplier A","Out of Stock",2023-04-25
1219,"Gadget Z",Furniture,"Warehouse 2","Aisle 2",100,19.99,"Supplier A","Low Stock",2023-04-25
1219,"Widget B",Furniture,"Warehouse 2","Aisle 2",200,49.99,"Supplier D","In Stock",2023-03-05
1219,"Widget C",Toys,"Warehouse 2","Aisle 5",50,19.99,"Supplier B","Low Stock",2023-01-15
1222,"Gadget Y",Furniture,"Warehouse 2","Aisle 3",100,29.99,"Supplier C","Low Stock",2022-12-20
1222,"Widget C",Clothing,"Warehouse 2","Aisle 3",150,49.99,"Supplier D","Low Stock",2023-04-25
1224,"Gadget Z",Furniture,"Warehouse 3","Aisle 1",150,29.99,"Supplier C","Low Stock",2023-03-05
1225,"Widget A",Furniture,"Warehouse 1","Aisle 2",200,9.99,"Supplier C","In Stock",2023-04-25
1226,"Gadget Y",Furniture,"Warehouse 1","Aisle 5",300,9.99,"Supplier C","In Stock",2022-12-20
1226,"Widget B",Electronics,"Warehouse 1","Aisle 3",300,29.99,"Supplier D","In Stock",2023-01-15
1228,"Widget B",Clothing,"Warehouse 1","Aisle 3",100,49.99,"Supplier D","Low Stock",2023-04-25
1229,"Gadget Z",Furniture,"Warehouse 2","Aisle 4",300,9.99,"Supplier A","In Stock",2023-01-15
1229,"Widget B",Clothing,"Warehouse 1","Aisle 2",300,9.99,"Supplier D","In Stock",2023-03-05
1230,"Gadget Z",Clothing,"Warehouse 1","Aisle 1",100,49.99,"Supplier B","Low Stock",NULL
1230,"Widget B",Toys,"Warehouse 1","Aisle 1",50,49.99,"Supplier A","Low Stock",NULL
1232,"Gadget Y",Furniture,"Warehouse 1","Aisle 1",50,29.99,"Supplier A","Low Stock",2022-12-20
1233,"Widget C",Toys,"Warehouse 2","Aisle 5",NULL,49.99,"Supplier A","Out of Stock",2022-12-20
1234,"Gadget Z",Electronics,"Warehouse 2","Aisle 4",50,29.99,"Supplier A","Low Stock",2022-12-20
1236,"Widget C",Electronics,"Warehouse 2","Aisle 3",300,19.99,"Supplier A","In Stock",2022-12-20
1240,"Gadget X",Electronics,"Warehouse 3","Aisle 3",150,49.99,"Supplier A","Low Stock",2023-04-25
1241,"Gadget Y",Furniture,"Warehouse 1","Aisle 2",300,29.99,"Supplier D","In Stock",NULL
1241,"Widget C",Furniture,"Warehouse 2","Aisle 2",100,49.99,"Supplier C","Low Stock",2022-12-20
1242,"Widget C",Toys,"Warehouse 1","Aisle 5",50,29.99,"Supplier B","Low Stock",NULL
1243,"Gadget Z",Toys,"Warehouse 2","Aisle 1",200,9.99,"Supplier B","In Stock",2023-04-25
1245,"Widget A",Toys,"Warehouse 2","Aisle 1",100,9.99,"Supplier D","Low Stock",NULL
1246,"Widget A",Toys,"Warehouse 3","Aisle 5",150,19.99,"Supplier C","Low Stock",2023-04-25
1250,"Widget A",Clothing,"Warehouse 1","Aisle 3",100,49.99,"Supplier B","Low Stock",2022-12-20
1251,"Widget C",Electronics,"Warehouse 1","Aisle 5",100,29.99,"Supplier B","Low Stock",NULL
1252,"Gadget Z",Toys,"Warehouse 1","Aisle 3",200,49.99,"Supplier B","In Stock",2023-03-05
1252,"Widget A",Clothing,"Warehouse 2","Aisle 4",50,29.99,"Supplier A","Low Stock",2023-03-05
1252,"Widget B",Furniture,"Warehouse 3","Aisle 5",300,9.99,"Supplier B","In Stock",2023-01-15
1252,"Widget C",Electronics,"Warehouse 2","Aisle 2",100,29.99,"Supplier D","Low Stock",2023-01-15
1253,"Gadget Y",Furniture,"Warehouse 2","Aisle 5",NULL,29.99,"Supplier C","Out of Stock",2023-01-15
1253,"Widget C",Clothing,"Warehouse 1","Aisle 3",150,19.99,"Supplier A","Low Stock",2022-12-20
1255,"Widget B",Clothing,"Warehouse 2","Aisle 4",150,9.99,"Supplier B","Low Stock",2023-04-25
1257,"Widget C",Clothing,"Warehouse 3","Aisle 1",50,19.99,"Supplier A","Low Stock",NULL
1258,"Gadget X",Clothing,"Warehouse 1","Aisle 4",NULL,29.99,"Supplier A","Out of Stock",2023-04-25
1258,"Widget B",Toys,"Warehouse 1","Aisle 4",300,9.99,"Supplier D","In Stock",2023-03-05
1262,"Gadget Z",Electronics,"Warehouse 2","Aisle 1",100,49.99,"Supplier C","Low Stock",2023-01-15
1263,"Gadget Z",Toys,"Warehouse 3","Aisle 3",NULL,9.99,"Supplier B","Out of Stock",2022-12-20
1264,"Gadget X",Toys,"Warehouse 2","Aisle 5",NULL,49.99,"Supplier B","Out of Stock",2022-12-20
1267,"Gadget Y",Clothing,"Warehouse 3","Aisle 3",300,9.99,"Supplier A","In Stock",2023-03-05
1267,"Widget A",Clothing,"Warehouse 2","Aisle 5",50,19.99,"Supplier B","Low Stock",2023-04-25
1268,"Widget B",Electronics,"Warehouse 2","Aisle 5",200,9.99,"Supplier A","In Stock",2023-01-15
1269,"Widget B",Clothing,"Warehouse 2","Aisle 1",150,29.99,"Supplier D","Low Stock",NULL
1270,"Gadget Z",Toys,"Warehouse 2","Aisle 4",50,49.99,"Supplier B","Low Stock",2022-12-20
1270,"Widget B",Clothing,"Warehouse 3","Aisle 5",200,19.99,"Supplier B","In Stock",2023-04-25
1271,"Widget B",Toys,"Warehouse 2","Aisle 5",50,49.99,"Supplier A","Low Stock",2023-03-05
1272,"Gadget Z",Clothing,"Warehouse 1","Aisle 2",NULL,29.99,"Supplier C","Out of Stock",2022-12-20
1276,"Gadget Y",Clothing,"Warehouse 2","Aisle 1",NULL,19.99,"Supplier C","Out of Stock",2023-04-25
1276,"Widget C",Toys,"Warehouse 3","Aisle 5",150,49.99,"Supplier A","Low Stock",2022-12-20
1279,"Gadget X",Toys,"Warehouse 1","Aisle 4",NULL,19.99,"Supplier D","Out of Stock",2023-03-05
1279,"Widget B",Furniture,"Warehouse 1","Aisle 3",150,19.99,"Supplier A","Low Stock",NULL
1282,"Gadget Z",Furniture,"Warehouse 1","Aisle 1",NULL,49.99,"Supplier B","Out of Stock",2023-04-25
1282,"Widget A",Furniture,"Warehouse 2","Aisle 5",200,9.99,"Supplier A","In Stock",2023-01-15
1283,"Widget B",Clothing,"Warehouse 2","Aisle 2",150,49.99,"Supplier D","Low Stock",2023-03-05
1284,"Widget A",Clothing,"Warehouse 2","Aisle 2",NULL,19.99,"Supplier B","Out of Stock",2022-12-20
1287,"Gadget X",Electronics,"Warehouse 2","Aisle 3",50,49.99,"Supplier B","Low Stock",2023-01-15
1288,"Gadget Z",Toys,"Warehouse 1","Aisle 5",300,9.99,"Supplier B","In Stock",2023-01-15
1288,"Widget B",Furniture,"Warehouse 2","Aisle 5",NULL,29.99,"Supplier A","Out of Stock",2023-01-15
1295,"Widget C",Toys,"Warehouse 2","Aisle 5",150,9.99,"Supplier C","Low Stock",NULL
1297,"Widget C",Toys,"Warehouse 2","Aisle 5",300,9.99,"Supplier C","In Stock",2023-04-25
1300,"Widget B",Electronics,"Warehouse 2","Aisle 1",100,29.99,"Supplier D","Low Stock",2022-12-20
1301,"Widget C",Electronics,"Warehouse 2","Aisle 5",NULL,19.99,"Supplier C","Out of Stock",NULL
1303,"Gadget Z",Furniture,"Warehouse 2","Aisle 3",NULL,19.99,"Supplier D","Out of Stock",2023-04-25
1304,"Gadget X",Clothing,"Warehouse 3","Aisle 2",100,9.99,"Supplier B","Low Stock",2023-04-25
1313,"Widget A",Toys,"Warehouse 1","Aisle 4",50,9.99,"Supplier D","Low Stock",2023-03-05
1313,"Widget B",Toys,"Warehouse 3","Aisle 4",300,19.99,"Supplier A","In Stock",2023-01-15
1315,"Widget A",Toys,"Warehouse 3","Aisle 1",100,49.99,"Supplier B","Low Stock",2023-01-15
1315,"Widget C",Electronics,"Warehouse 3","Aisle 3",150,9.99,"Supplier A","Low Stock",NULL
1320,"Widget A",Electronics,"Warehouse 1","Aisle 2",NULL,29.99,"Supplier C","Out of Stock",2023-03-05
1322,"Gadget Y",Furniture,"Warehouse 1","Aisle 3",200,19.99,"Supplier C","In Stock",2023-03-05
1322,"Widget A",Toys,"Warehouse 1","Aisle 2",100,9.99,"Supplier A","Low Stock",2022-12-20
1325,"Widget C",Electronics,"Warehouse 2","Aisle 5",200,9.99,"Supplier C","In Stock",2023-03-05
1326,"Gadget Z",Toys,"Warehouse 1","Aisle 2",50,19.99,"Supplier D","Low Stock",NULL
1329,"Widget B",Clothing,"Warehouse 1","Aisle 1",50,9.99,"Supplier C","Low Stock",2023-01-15
1330,"Gadget Z",Electronics,"Warehouse 2","Aisle 3",100,49.99,"Supplier A","Low Stock",2023-01-15
1330,"Widget C",Toys,"Warehouse 3","Aisle 4",150,9.99,"Supplier B","Low Stock",2023-04-25
1337,"Widget B",Clothing,"Warehouse 3","Aisle 5",200,9.99,"Supplier D","In Stock",2023-04-25
1337,"Widget C",Clothing,"Warehouse 3","Aisle 2",50,9.99,"Supplier C","Low Stock",2023-01-15
1338,"Widget B",Electronics,"Warehouse 2","Aisle 4",100,49.99,"Supplier D","Low Stock",NULL
1339,"Widget A",Furniture,"Warehouse 2","Aisle 3",150,19.99,"Supplier A","Low Stock",2022-12-20
1339,"Widget C",Furniture,"Warehouse 3","Aisle 1",300,9.99,"Supplier B","In Stock",2023-03-05
1340,"Gadget Y",Clothing,"Warehouse 2","Aisle 1",NULL,19.99,"Supplier B","Out of Stock",2023-03-05
1341,"Gadget X",Electronics,"Warehouse 3","Aisle 1",200,49.99,"Supplier D","In Stock",2023-04-25
1341,"Widget A",Electronics,"Warehouse 2","Aisle 1",100,19.99,"Supplier B","Low Stock",2023-01-15
1341,"Widget B",Electronics,"Warehouse 2","Aisle 5",150,19.99,"Supplier D","Low Stock",2022-12-20
1343,"Gadget X",Furniture,"Warehouse 2","Aisle 4",100,49.99,"Supplier B","Low Stock",2023-04-25
1345,"Gadget X",Furniture,"Warehouse 2","Aisle 4",NULL,29.99,"Supplier D","Out of Stock",2023-01-15
1345,"Gadget Z",Furniture,"Warehouse 3","Aisle 4",200,19.99,"Supplier A","In Stock",2022-12-20
1345,"Widget C",Electronics,"Warehouse 1","Aisle 1",50,29.99,"Supplier D","Low Stock",2023-01-15
